course_id,course_title,difficulty,video_length_minutes,language,keywords,learning_objectives,topic,prerequisites,estimated_effort_hours_per_week,instructor_name,rating,release_date,number_of_modules,certification_available,format,interactivity_level,target_audience,accessibility_features
C0001,Introduction to Marketing,Advanced,100,Korean,sales strategy; pipeline; closing,Master lead generation techniques and pipeline management.,Customer Success,Familiarity with CRM tools,8,Instructor B,3.75,2019-05-03,5,TRUE,Blended,High,5-10 years,Transcripts
C0002,Mastering Machine Learning,Beginner,144,German,sales strategy; pipeline; closing,Develop effective negotiation tactics and customer engagement strategies.,Customer Relationship Management,Experience in customer-facing roles,4,Instructor G,4.46,2022-10-10,6,TRUE,Self-paced,Medium,5-10 years,Audio Descriptions
C0003,Mastering Data Science,Advanced,61,Chinese,sales analytics; forecasting; KPIs,Learn to build and manage customer relationships to drive retention.,Customer Relationship Management,Basic understanding of sales principles,3,Instructor B,3.31,2021-07-22,12,TRUE,Self-paced,Medium,1-3 years,None
C0004,Advanced Cloud Computing,Intermediate,120,Korean,sales; negotiation; customer engagement,Learn to build and manage customer relationships to drive retention.,Sales Strategy,Familiarity with CRM tools,9,Instructor M,3.12,2022-01-10,20,TRUE,Instructor-led,Low,3-5 years,Subtitles
C0005,Mastering Artificial Intelligence,Intermediate,46,Korean,customer retention; relationship management; loyalty,Improve sales closing skills and objection handling.,Presentation Skills,Familiarity with CRM tools,9,Instructor E,4.2,2021-12-20,7,TRUE,Blended,High,0-1 years,None
C0006,Mastering Statistics,Intermediate,86,Korean,B2B sales; account management; consultative selling,Master lead generation techniques and pipeline management.,Presentation Skills,Familiarity with CRM tools,4,Instructor Z,3.04,2023-09-26,5,FALSE,Blended,Medium,3-5 years,Audio Descriptions
C0007,Introduction to Machine Learning,Advanced,59,French,sales strategy; pipeline; closing,Understand sales analytics to make data-driven decisions.,Customer Relationship Management,Basic understanding of sales principles,4,Instructor O,4.66,2019-01-14,11,TRUE,Self-paced,High,1-3 years,Transcripts
C0008,Fundamentals of Leadership,Beginner,168,German,sales; negotiation; customer engagement,Master lead generation techniques and pipeline management.,Sales Analytics,Experience in customer-facing roles,6,Instructor H,3.36,2019-08-26,10,TRUE,Blended,Medium,3-5 years,Transcripts
C0009,Mastering Leadership,Advanced,72,Spanish,customer retention; relationship management; loyalty,Develop effective negotiation tactics and customer engagement strategies.,Negotiation,Basic understanding of sales principles,6,Instructor M,3.61,2023-03-10,17,FALSE,Self-paced,Low,5-10 years,Audio Descriptions
C0010,Essentials of Python,Advanced,88,German,lead generation; CRM; prospecting,Learn to build and manage customer relationships to drive retention.,B2B Sales,Experience in customer-facing roles,2,Instructor K,3.86,2019-10-18,19,TRUE,Blended,Medium,10+ years,Transcripts
C0011,Essentials of Statistics,Intermediate,92,Chinese,B2B sales; account management; consultative selling,Develop effective negotiation tactics and customer engagement strategies.,Presentation Skills,Basic understanding of sales principles,8,Instructor N,4.22,2024-03-27,4,TRUE,Instructor-led,High,1-3 years,Subtitles
C0012,Advanced Cybersecurity,Beginner,167,Chinese,lead generation; CRM; prospecting,Enhance presentation skills for persuasive product demonstrations.,Customer Success,Basic understanding of sales principles,3,Instructor O,3.58,2020-02-06,4,TRUE,Self-paced,Low,10+ years,None
C0013,Advanced Customer Service,Intermediate,45,Korean,sales strategy; pipeline; closing,Improve sales closing skills and objection handling.,Retail Sales,None,8,Instructor W,3.91,2024-06-16,7,TRUE,Self-paced,Low,3-5 years,Subtitles
