user_id,age,gender,country,occupation,experience_years,education_level,preferred_language,preferred_learning_style,learning_goals,performance_trend,average_feedback_score
U0001,54,Prefer not to say,Australia,Sales Representative,8,Master's Degree,Chinese,Interactive,Understand cybersecurity,64->65->68,3.68
U0002,24,Non-binary,Germany,Inside Sales Specialist,2,PhD,Spanish,Video,Upskill in data science,59->61->63,3.14
U0003,30,Male,South Korea,Inside Sales Specialist,9,Bachelor's Degree,English,Hands-on,Learn Agile methodologies,74->69->68,3.82
U0004,35,Non-binary,India,Inside Sales Specialist,1,Bachelor's Degree,English,Interactive,Advance marketing knowledge,78->77->78,3.62
U0005,57,Female,United Kingdom,Sales Engineer,15,Master's Degree,French,Interactive,Upskill in data science,75->77->73,4.35
U0006,55,Female,Canada,Pre-Sales Consultant,13,Master's Degree,Chinese,Reading,Improve leadership skills,89->84->87,4.21
U0007,48,Prefer not to say,Australia,Pre-Sales Consultant,10,PhD,English,Hands-on,Enhance data visualization,63->67->68,3.73
U0008,33,Non-binary,Canada,Inside Sales Specialist,15,Master's Degree,English,Reading,Master programming,51->56->61,3.44
U0009,39,Female,Canada,Territory Sales Manager,14,High School,Spanish,Hands-on,Improve leadership skills,84->85->90,4.98
U0010,48,Male,India,Account Manager,5,High School,English,Hands-on,Learn project management,86->91->86,3.91
U0011,50,Female,Japan,Account Executive,2,PhD,German,Interactive,Enhance data visualization,57->60->57,4.38
U0012,46,Non-binary,United Kingdom,Sales Manager,7,Master's Degree,English,Hands-on,Upskill in data science,84->85->84,3.28
U0013,59,Non-binary,Canada,Sales Representative,9,Associate Degree,English,Interactive,Explore machine learning,84->89->94,3.97
U0014,35,Male,United Kingdom,Sales Manager,0,High School,Spanish,Reading,Explore machine learning,89->90->92,3.06
U0015,21,Prefer not to say,Japan,Business Development Representative,10,PhD,Chinese,Interactive,Upskill in data science,73->72->76,4.01
U0016,53,Female,Germany,Pre-Sales Consultant,8,Associate Degree,English,Interactive,Improve leadership skills,79->82->78,4.93
U0017,46,Prefer not to say,France,Pre-Sales Consultant,12,Master's Degree,French,Reading,Advance marketing knowledge,57->57->62,3.77
U0018,53,Male,United States,Pre-Sales Consultant,8,PhD,French,Interactive,Learn Agile methodologies,55->55->50,3.08
U0019,32,Prefer not to say,South Korea,Inside Sales Specialist,1,PhD,Korean,Hands-on,Prepare for certification,52->54->49,3.06
U0020,33,Male,France,Account Executive,1,PhD,French,Video,Enhance data visualization,60->61->58,3.78
U0021,53,Female,Japan,Territory Sales Manager,5,Bachelor's Degree,Spanish,Reading,Upskill in data science,51->53->50,3.32
U0022,53,Non-binary,Japan,Sales Manager,14,Bachelor's Degree,English,Video,Understand cybersecurity,84->79->80,3.05
U0023,57,Male,Japan,Account Manager,3,Associate Degree,Chinese,Hands-on,Understand cybersecurity,58->53->56,4.51
U0024,22,Female,South Korea,Inside Sales Specialist,3,Master's Degree,English,Interactive,Understand cybersecurity,62->67->66,3.92
U0025,37,Non-binary,United Kingdom,Business Development Representative,12,Associate Degree,French,Reading,Master programming,83->88->90,3.58
U0026,20,Male,Canada,Account Executive,9,Associate Degree,Spanish,Interactive,Master programming,63->64->68,4.8
U0027,21,Male,Canada,Business Development Representative,11,Associate Degree,English,Interactive,Learn Agile methodologies,67->71->73,3.23
U0028,45,Male,United Kingdom,Sales Representative,14,High School,Korean,Reading,Advance marketing knowledge,74->74->71,4.91
U0029,39,Male,Australia,Business Development Representative,13,Bachelor's Degree,German,Video,Learn Agile methodologies,78->78->77,3.63
U0030,21,Female,India,Sales Engineer,8,PhD,German,Interactive,Improve leadership skills,72->76->78,4.78
U0031,51,Female,France,Territory Sales Manager,12,Master's Degree,Korean,Interactive,Learn project management,64->65->60,4.21
U0032,44,Prefer not to say,Brazil,Account Manager,13,Bachelor's Degree,German,Video,Learn project management,73->77->76,4.65
U0033,56,Prefer not to say,Canada,Sales Engineer,1,Bachelor's Degree,Korean,Hands-on,Learn project management,60->61->65,4.97
U0034,59,Female,South Korea,Sales Representative,12,High School,Chinese,Hands-on,Learn project management,62->62->63,3.58
U0035,59,Female,Japan,Pre-Sales Consultant,7,Associate Degree,Spanish,Hands-on,Understand cybersecurity,85->88->90,4.92
U0036,51,Prefer not to say,Japan,Customer Success Manager,13,High School,Spanish,Video,Advance marketing knowledge,66->69->66,3.78
U0037,23,Non-binary,Japan,Sales Engineer,3,Bachelor's Degree,Korean,Interactive,Explore machine learning,55->52->49,3.77
U0038,45,Male,South Korea,Inside Sales Specialist,9,Bachelor's Degree,English,Hands-on,Understand cybersecurity,59->63->59,3.68
U0039,39,Female,South Korea,Pre-Sales Consultant,2,Associate Degree,Spanish,Video,Upskill in data science,63->66->70,4.08
U0040,51,Non-binary,Canada,Account Executive,15,Associate Degree,English,Hands-on,Master programming,74->73->70,3.31
U0041,28,Non-binary,South Korea,Customer Success Manager,4,High School,German,Interactive,Advance marketing knowledge,71->69->64,4.11
U0042,56,Prefer not to say,India,Business Development Representative,3,PhD,Spanish,Hands-on,Learn project management,86->89->84,4.08
U0043,43,Prefer not to say,France,Sales Engineer,2,Master's Degree,French,Reading,Advance marketing knowledge,90->85->87,4.52
U0044,59,Prefer not to say,India,Sales Engineer,13,PhD,Spanish,Hands-on,Learn project management,68->63->62,4.67
U0045,35,Non-binary,Brazil,Sales Engineer,5,Bachelor's Degree,Korean,Video,Advance marketing knowledge,80->85->89,3.88
U0046,40,Prefer not to say,United States,Business Development Representative,15,Master's Degree,Chinese,Interactive,Learn project management,54->56->56,3.6
U0047,23,Female,India,Territory Sales Manager,5,High School,Korean,Reading,Explore machine learning,87->91->87,3.52
U0048,57,Female,France,Account Manager,6,Master's Degree,English,Interactive,Prepare for certification,61->60->59,3.39
U0049,37,Prefer not to say,Germany,Account Manager,0,Bachelor's Degree,Chinese,Hands-on,Upskill in data science,78->81->82,3.12
U0050,28,Female,Australia,Sales Representative,15,Master's Degree,Spanish,Video,Explore machine learning,54->56->61,3.68
U0051,22,Non-binary,United States,Sales Manager,7,Associate Degree,German,Reading,Improve leadership skills,67->67->68,3.54
U0052,32,Non-binary,South Korea,Sales Representative,2,PhD,Spanish,Video,Master programming,72->75->71,4.93
U0053,26,Non-binary,Brazil,Customer Success Manager,12,Bachelor's Degree,Korean,Video,Understand cybersecurity,53->58->60,4.12
U0054,50,Male,South Korea,Account Manager,7,High School,French,Reading,Master programming,69->65->68,3.69
U0055,37,Male,United Kingdom,Sales Representative,4,Associate Degree,English,Video,Advance marketing knowledge,87->88->89,4.16
U0056,30,Male,United Kingdom,Account Manager,12,Bachelor's Degree,French,Video,Enhance data visualization,84->87->82,3.28
U0057,29,Prefer not to say,Australia,Account Manager,10,High School,Chinese,Reading,Understand cybersecurity,88->86->84,3.89
U0058,35,Non-binary,India,Account Executive,1,Associate Degree,German,Hands-on,Prepare for certification,66->61->64,4.25
U0059,52,Male,India,Account Executive,15,High School,German,Interactive,Upskill in data science,57->61->65,3.98
U0060,25,Non-binary,United Kingdom,Sales Representative,6,Associate Degree,Chinese,Hands-on,Improve leadership skills,56->56->59,3.8
U0061,37,Non-binary,France,Sales Engineer,5,Master's Degree,Korean,Interactive,Improve leadership skills,57->61->66,4.99
U0062,45,Male,Germany,Account Manager,5,Associate Degree,English,Reading,Advance marketing knowledge,88->90->95,4.76
U0063,20,Prefer not to say,Brazil,Sales Representative,8,Bachelor's Degree,Chinese,Video,Learn Agile methodologies,58->63->61,4.25
U0064,25,Prefer not to say,United States,Account Manager,2,PhD,German,Reading,Advance marketing knowledge,86->85->86,4.14
U0065,51,Prefer not to say,India,Pre-Sales Consultant,13,Associate Degree,Korean,Reading,Explore machine learning,74->69->69,4.24
U0066,34,Male,Canada,Sales Representative,2,PhD,Spanish,Video,Learn project management,73->75->78,3.4
U0067,48,Male,United Kingdom,Sales Representative,12,High School,Spanish,Video,Understand cybersecurity,65->60->61,3.79
U0068,45,Female,India,Account Executive,11,High School,Korean,Video,Understand cybersecurity,67->62->66,3.08
U0069,54,Male,South Korea,Territory Sales Manager,1,PhD,English,Interactive,Upskill in data science,65->70->65,3.95
U0070,29,Non-binary,Canada,Inside Sales Specialist,8,Bachelor's Degree,Korean,Interactive,Enhance data visualization,73->77->79,4.09
U0071,58,Non-binary,United Kingdom,Inside Sales Specialist,5,Master's Degree,English,Video,Explore machine learning,84->85->80,3.46
U0072,28,Prefer not to say,Australia,Sales Representative,15,Bachelor's Degree,French,Reading,Prepare for certification,67->72->76,4.93
U0073,28,Male,Australia,Pre-Sales Consultant,9,Bachelor's Degree,Spanish,Interactive,Learn Agile methodologies,55->51->54,4.82
U0074,21,Male,France,Pre-Sales Consultant,11,Bachelor's Degree,German,Interactive,Prepare for certification,68->68->69,4.44
U0075,45,Female,Canada,Sales Engineer,11,Associate Degree,English,Hands-on,Explore machine learning,81->76->76,4.07
U0076,46,Prefer not to say,South Korea,Account Manager,13,High School,Chinese,Interactive,Prepare for certification,84->85->80,4.74
U0077,48,Male,Germany,Pre-Sales Consultant,4,Master's Degree,Chinese,Video,Learn project management,62->62->58,3.26
U0078,43,Non-binary,South Korea,Territory Sales Manager,6,High School,English,Hands-on,Advance marketing knowledge,90->86->87,4.58
U0079,51,Male,Australia,Sales Engineer,11,PhD,Chinese,Video,Master programming,58->55->54,3.25
U0080,39,Male,United Kingdom,Inside Sales Specialist,10,Bachelor's Degree,Chinese,Reading,Upskill in data science,74->73->73,4.59
U0081,33,Male,Australia,Customer Success Manager,1,Bachelor's Degree,French,Hands-on,Improve leadership skills,86->82->87,3.55
U0082,53,Prefer not to say,India,Territory Sales Manager,12,PhD,Korean,Hands-on,Master programming,74->70->73,4.75
U0083,35,Female,Australia,Sales Manager,15,Bachelor's Degree,French,Hands-on,Understand cybersecurity,85->80->80,4.89
U0084,49,Male,Canada,Account Executive,15,Master's Degree,French,Video,Learn Agile methodologies,66->64->59,3.3
